,vacancy_name,vacancy_link,min_salary,max_salary,currency
73,Data Scientist,https://kazan.hh.ru/vacancy/69631571?from=vacancy_search_list&query=data+scientist,0,0,
74,Data Scientist,https://kazan.hh.ru/vacancy/76461371?from=vacancy_search_list&query=data+scientist,0,0,
75,Middle Data Scientist,https://kazan.hh.ru/vacancy/76672110?from=vacancy_search_list&query=data+scientist,0,0,
76,Главный эксперт по анализу данных (data analyst/data scientist/аналитик данных),https://kazan.hh.ru/vacancy/75530182?from=vacancy_search_list&query=data+scientist,0,0,
77,Аналитик данных / Data Scientist (Middle),https://kazan.hh.ru/vacancy/69947221?from=vacancy_search_list&query=data+scientist,140000,200000,руб.
78,Data Scientist (Рекомендательные системы),https://kazan.hh.ru/vacancy/68115103?from=vacancy_search_list&query=data+scientist,0,0,
79,Data Scientist,https://kazan.hh.ru/vacancy/76399915?from=vacancy_search_list&query=data+scientist,0,0,
80,Data Scientist ( Аналитик данных ),https://kazan.hh.ru/vacancy/76537732?from=vacancy_search_list&query=data+scientist,0,0,
81,Senior Data Scientist (в Германию),https://kazan.hh.ru/vacancy/76661203?from=vacancy_search_list&query=data+scientist,0,0,
82,Senior Data Scientist (разработка Скоринговых моделей),https://kazan.hh.ru/vacancy/73751357?from=vacancy_search_list&query=data+scientist,0,0,
83,"Senior Data Scientist (""Платформа экспериментов"")",https://kazan.hh.ru/vacancy/75864257?from=vacancy_search_list&query=data+scientist,0,0,
84,Senior Data Scientist,https://kazan.hh.ru/vacancy/76781473?from=vacancy_search_list&query=data+scientist,0,0,
85,Data Scientist (Динамическое ценообразование),https://kazan.hh.ru/vacancy/76522323?from=vacancy_search_list&query=data+scientist,0,0,
86,Data Scientist,https://kazan.hh.ru/vacancy/76155408?from=vacancy_search_list&query=data+scientist,0,0,
87,Lead Data Scientist (Руководитель отдела моделирования и анализа больших данных),https://kazan.hh.ru/vacancy/75284249?from=vacancy_search_list&query=data+scientist,0,0,
88,Lead Data Scientist at Sberbank Corporate,https://kazan.hh.ru/vacancy/76827664?from=vacancy_search_list&query=data+scientist,0,0,
89,Data Scientist (Рекламные технологии),https://kazan.hh.ru/vacancy/76453041?from=vacancy_search_list&query=data+scientist,0,0,
90,Team Lead Data Scientist,https://kazan.hh.ru/vacancy/76859310?from=vacancy_search_list&query=data+scientist,0,0,
91,Data Scientist (Транскодинг),https://kazan.hh.ru/vacancy/73255259?from=vacancy_search_list&query=data+scientist,0,0,
92,Data Scientist (Группа платформы экспериментов),https://kazan.hh.ru/vacancy/73330908?from=vacancy_search_list&query=data+scientist,0,0,
93,Data Scientist ( Аналитик данных ),https://kazan.hh.ru/vacancy/76537733?from=vacancy_search_list&query=data+scientist,0,0,
94,Data scientist,https://kazan.hh.ru/vacancy/69774676?from=vacancy_search_list&query=data+scientist,0,0,
95,Data Scientist (Global Markets),https://kazan.hh.ru/vacancy/72736408?from=vacancy_search_list&query=data+scientist,0,0,
96,Data scientist,https://kazan.hh.ru/vacancy/75598717?from=vacancy_search_list&query=data+scientist,0,0,
97,Data Scientist,https://kazan.hh.ru/vacancy/76575214?from=vacancy_search_list&query=data+scientist,0,0,
98,Senior Data Scientist (Rec. system),https://kazan.hh.ru/vacancy/73596842?from=vacancy_search_list&query=data+scientist,0,0,
99,Data engineer,https://kazan.hh.ru/vacancy/76653766?from=vacancy_search_list&query=data+scientist,0,0,
100,Data Scientist (Senior),https://kazan.hh.ru/vacancy/73254256?from=vacancy_search_list&query=data+scientist,0,0,
101,Data Scientist Middle (КИБ и СМБ),https://kazan.hh.ru/vacancy/76261820?from=vacancy_search_list&query=data+scientist,0,0,
102,Middle Data Scientist (Скоринги Партнерств и ПБД),https://kazan.hh.ru/vacancy/76281676?from=vacancy_search_list&query=data+scientist,0,0,
103,Data Analyst,https://kazan.hh.ru/vacancy/76385534?from=vacancy_search_list&query=data+scientist,0,0,
104,Data scientist (SberWorks),https://kazan.hh.ru/vacancy/75996791?from=vacancy_search_list&query=data+scientist,0,0,
105,Senior Data Scientist в направление рекламной платформы RnD (Big Data),https://kazan.hh.ru/vacancy/74317205?from=vacancy_search_list&query=data+scientist,0,0,
106,Senior Data Scientist,https://kazan.hh.ru/vacancy/76576075?from=vacancy_search_list&query=data+scientist,0,0,
107,Руководитель группы Data scientist,https://kazan.hh.ru/vacancy/76116187?from=vacancy_search_list&query=data+scientist,0,0,
108,Data Аналитик (Middle),https://kazan.hh.ru/vacancy/76226891?from=vacancy_search_list&query=data+scientist,0,200000,руб.
109,Lead Data Scientist,https://kazan.hh.ru/vacancy/76403695?from=vacancy_search_list&query=data+scientist,0,0,
110,Senior Data Scientist,https://kazan.hh.ru/vacancy/76333170?from=vacancy_search_list&query=data+scientist,0,0,
111,Senior Data Scientist (remote),https://kazan.hh.ru/vacancy/74141902?from=vacancy_search_list&query=data+scientist,0,0,
112,Data scientist (middle),https://kazan.hh.ru/vacancy/76143654?from=vacancy_search_list&query=data+scientist,0,0,
113,Data Scientist (Направление геология и разработка месторождений),https://kazan.hh.ru/vacancy/76090068?from=vacancy_search_list&query=data+scientist,0,0,
114,Senior Data scientist,https://kazan.hh.ru/vacancy/70865878?from=vacancy_search_list&query=data+scientist,0,0,
115,Middle/Senior Data Scientist,https://kazan.hh.ru/vacancy/72736422?from=vacancy_search_list&query=data+scientist,0,0,
116,Data Scientist (Направление геология и разработка месторождений),https://kazan.hh.ru/vacancy/76090069?from=vacancy_search_list&query=data+scientist,0,0,
